Id,TotalSteps,level
1503960366,12520.633333333333,Very active (10k+)
1624580081,5743.903225806452,Lightly active (5k-7.5k)
1644430081,7282.966666666666,Lightly active (5k-7.5k)
1844505072,3635.5454545454545,Sedentary (<5k)
1927972279,1577.7777777777778,Sedentary (<5k)
2022484408,11370.645161290322,Very active (10k+)
2026352035,5566.870967741936,Lightly active (5k-7.5k)
2320127002,4716.870967741936,Sedentary (<5k)
2347167796,9519.666666666666,Fairly active (7.5k-10k)
2873212765,7555.774193548387,Fairly active (7.5k-10k)
3372868164,6861.65,Lightly active (5k-7.5k)
3977333714,10984.566666666668,Very active (10k+)
4020332650,4134.35294117647,Sedentary (<5k)
4057192912,5117.333333333333,Lightly active (5k-7.5k)
4319703577,7268.8387096774195,Lightly active (5k-7.5k)
4388161847,10813.935483870968,Very active (10k+)
4445114986,4796.548387096775,Sedentary (<5k)
4558609924,7685.129032258064,Fairly active (7.5k-10k)
4702921684,8857.8,Fairly active (7.5k-10k)
5553957443,8612.58064516129,Fairly active (7.5k-10k)
5577150313,8897.607142857143,Fairly active (7.5k-10k)
6117666160,8578.608695652174,Fairly active (7.5k-10k)
6290855005,6826.541666666667,Lightly active (5k-7.5k)
6775888955,3853.6470588235293,Sedentary (<5k)
6962181067,9794.806451612903,Fairly active (7.5k-10k)
7007744171,11776.36,Very active (10k+)
7086361926,9684.166666666666,Fairly active (7.5k-10k)
8053475328,14763.290322580646,Very active (10k+)
8253242879,6842.277777777777,Lightly active (5k-7.5k)
8378563200,8717.709677419354,Fairly active (7.5k-10k)
8583815059,7438.466666666666,Lightly active (5k-7.5k)
8792009665,2687.9,Sedentary (<5k)
8877689391,16040.032258064517,Very active (10k+)
